Wavelength (nm)	Band 1p	Band 1	Band 2	Band 3	Band 4	Band 4p	Band 5p	Band 5	Band 7	Pan
462	0.00032	0.67297	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020
463	0.00021	0.68120	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00016
464	0.00010	0.69173	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015
465	0.00004	0.70316	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00017
466	0.00003	0.71233	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00020
467	0.00001	0.72016	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00029
468	0.00001	0.72509	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00040
469	0.00004	0.72471	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00060
470	0.00002	0.72492	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00104
471	0.00003	0.72439	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00197
472	0.00002	0.72452	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00395
473	-0.00002	0.72742	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00809
474	-0.00002	0.73752	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01470
475	0.00002	0.75121	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02302
476	0.00000	0.76916	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.03224
477	0.00002	0.78729	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.04532
478	0.00000	0.80520	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.06908
479	0.00002	0.82417	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.11437
480	0.00000	0.83452	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.19273
481	0.00000	0.84409	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.29555
482	0.00002	0.85321	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.36617
483	0.00000	0.85862	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.37063
484	0.00000	0.86760	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.33898
485	0.00002	0.87198	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.30672
486	0.00002	0.87556	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.29457
487	0.00007	0.87814	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.31019
488	-0.00002	0.88039	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.34952
489	0.00000	0.87934	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.39698
490	0.00002	0.87749	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.42308
491	0.00000	0.87441	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.41387
492	0.00002	0.87891	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.39830
493	0.00000	0.88112	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.39453
494	0.00000	0.88960	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.40177
495	0.00000	0.89782	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.41136
496	0.00000	0.90930	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.40960
497	0.00000	0.92310	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.40520
498	0.00000	0.93652	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.40955
499	0.00000	0.95340	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.43200
500	0.00000	0.96872	0.00006	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.47119
501	0.00000	0.97846	0.00007	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.50972
502	0.00000	0.98377	0.00009	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.53379
503	0.00000	0.98798	0.00010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.54163
